Hole_ID,From,To,Code
0.0,-0.0,3.0,2.0
0.0,3.0,6.0,2.0
0.0,6.0,9.0,2.0
0.0,9.0,12.0,1.0
0.0,12.0,15.0,1.0
0.0,15.0,18.0,1.0
0.0,18.0,21.0,2.0
0.0,21.0,24.0,2.0
0.0,24.0,27.0,1.0
0.0,27.0,30.0,1.0
0.0,30.0,33.0,1.0
0.0,33.0,36.0,1.0
0.0,36.0,39.0,1.0
0.0,39.0,42.0,1.0
0.0,42.0,45.0,1.0
0.0,45.0,48.0,1.0
0.0,48.0,51.0,2.0
0.0,51.0,54.0,2.0
0.0,54.0,57.0,2.0
1.0,-0.0,3.0,2.0
1.0,3.0,6.0,2.0
1.0,6.0,9.0,1.0
1.0,9.0,12.0,2.0
1.0,12.0,15.0,2.0
1.0,15.0,18.0,1.0
1.0,18.0,21.0,2.0
1.0,21.0,24.0,2.0
1.0,24.0,27.0,2.0
1.0,27.0,30.0,1.0
1.0,30.0,33.0,1.0
1.0,33.0,36.0,1.0
1.0,36.0,39.0,1.0
1.0,39.0,42.0,1.0
1.0,42.0,45.0,1.0
1.0,45.0,48.0,2.0
1.0,48.0,51.0,1.0
1.0,51.0,54.0,1.0
1.0,54.0,57.0,1.0
1.0,57.0,60.0,1.0
1.0,60.0,63.0,1.0
1.0,63.0,66.0,1.0
1.0,66.0,69.0,1.0
1.0,69.0,72.0,1.0
1.0,72.0,75.0,1.0
1.0,75.0,78.0,2.0
1.0,78.0,81.0,2.0
1.0,81.0,84.0,2.0
1.0,84.0,87.0,2.0
1.0,87.0,90.0,2.0
1.0,90.0,93.0,2.0
1.0,93.0,96.0,2.0
1.0,96.0,99.0,2.0
1.0,99.0,102.0,2.0
1.0,102.0,105.0,2.0
1.0,105.0,108.0,2.0
1.0,108.0,111.0,2.0
1.0,111.0,114.0,1.0
1.0,114.0,117.0,1.0
1.0,117.0,120.0,1.0
1.0,120.0,123.0,1.0
1.0,123.0,126.0,1.0
1.0,126.0,129.0,2.0
1.0,129.0,132.0,2.0
1.0,132.0,135.0,2.0
1.0,135.0,138.0,2.0
1.0,138.0,141.0,2.0
1.0,141.0,144.0,2.0
1.0,144.0,147.0,1.0
1.0,147.0,150.0,2.0
1.0,150.0,153.0,2.0
1.0,153.0,156.0,1.0
1.0,156.0,159.0,1.0
2.0,-0.0,3.0,2.0
2.0,3.0,6.0,2.0
2.0,6.0,9.0,2.0
2.0,9.0,12.0,2.0
2.0,12.0,15.0,2.0
2.0,15.0,18.0,1.0
2.0,18.0,21.0,1.0
2.0,21.0,24.0,1.0
2.0,24.0,27.0,2.0
2.0,27.0,30.0,2.0
2.0,30.0,33.0,2.0
2.0,33.0,36.0,2.0
2.0,36.0,39.0,2.0
2.0,39.0,42.0,2.0
2.0,42.0,45.0,2.0
2.0,45.0,48.0,1.0
2.0,48.0,51.0,1.0
2.0,51.0,54.0,1.0
2.0,54.0,57.0,1.0
2.0,57.0,60.0,1.0
2.0,60.0,63.0,2.0
2.0,63.0,66.0,2.0
2.0,66.0,69.0,2.0
2.0,69.0,72.0,2.0
2.0,72.0,75.0,1.0
2.0,75.0,78.0,1.0
2.0,78.0,81.0,1.0
2.0,81.0,84.0,1.0
2.0,84.0,87.0,1.0
2.0,87.0,90.0,1.0
2.0,90.0,93.0,1.0
3.0,-0.0,3.0,2.0
3.0,3.0,6.0,2.0
3.0,6.0,9.0,2.0
3.0,9.0,12.0,2.0
3.0,12.0,15.0,1.0
3.0,15.0,18.0,2.0
3.0,18.0,21.0,2.0
3.0,21.0,24.0,2.0
3.0,24.0,27.0,2.0
3.0,27.0,30.0,2.0
3.0,30.0,33.0,2.0
3.0,33.0,36.0,2.0
3.0,36.0,39.0,1.0
3.0,39.0,42.0,2.0
3.0,42.0,45.0,1.0
3.0,45.0,48.0,1.0
3.0,48.0,51.0,1.0
3.0,51.0,54.0,1.0
3.0,54.0,57.0,1.0
3.0,57.0,60.0,1.0
3.0,60.0,63.0,1.0
3.0,63.0,66.0,1.0
3.0,66.0,69.0,1.0
3.0,69.0,72.0,1.0
3.0,72.0,75.0,1.0
3.0,75.0,78.0,1.0
3.0,78.0,81.0,1.0
3.0,81.0,84.0,1.0
3.0,84.0,87.0,1.0
3.0,87.0,90.0,2.0
3.0,90.0,93.0,2.0
3.0,93.0,96.0,1.0
3.0,96.0,99.0,1.0
3.0,99.0,102.0,2.0
3.0,102.0,105.0,2.0
3.0,105.0,108.0,2.0
3.0,108.0,111.0,1.0
3.0,111.0,114.0,1.0
3.0,114.0,117.0,1.0
3.0,117.0,120.0,1.0
3.0,120.0,123.0,1.0
3.0,123.0,126.0,1.0
3.0,126.0,129.0,1.0
3.0,129.0,132.0,1.0
3.0,132.0,135.0,1.0
3.0,135.0,138.0,2.0
3.0,138.0,141.0,2.0
3.0,141.0,144.0,1.0
3.0,144.0,147.0,1.0
3.0,147.0,150.0,1.0
3.0,150.0,153.0,1.0
3.0,153.0,156.0,1.0
4.0,-0.0,3.0,1.0
4.0,3.0,6.0,2.0
4.0,6.0,9.0,2.0
4.0,9.0,12.0,2.0
4.0,12.0,15.0,1.0
4.0,15.0,18.0,2.0
4.0,18.0,21.0,1.0
4.0,21.0,24.0,1.0
4.0,24.0,27.0,1.0
4.0,27.0,30.0,1.0
4.0,30.0,33.0,1.0
4.0,33.0,36.0,1.0
4.0,36.0,39.0,1.0
4.0,39.0,42.0,1.0
4.0,42.0,45.0,1.0
4.0,45.0,48.0,1.0
4.0,48.0,51.0,1.0
4.0,51.0,54.0,1.0
4.0,54.0,57.0,1.0
4.0,57.0,60.0,1.0
4.0,60.0,63.0,1.0
4.0,63.0,66.0,1.0
4.0,66.0,69.0,2.0
4.0,69.0,72.0,2.0
4.0,72.0,75.0,1.0
4.0,75.0,78.0,1.0
4.0,78.0,81.0,1.0
4.0,81.0,84.0,1.0
4.0,84.0,87.0,1.0
4.0,87.0,90.0,1.0
4.0,90.0,93.0,2.0
4.0,93.0,96.0,2.0
4.0,96.0,99.0,2.0
4.0,99.0,102.0,2.0
4.0,102.0,105.0,2.0
4.0,105.0,108.0,1.0
4.0,108.0,111.0,1.0
4.0,111.0,114.0,1.0
4.0,114.0,117.0,2.0
4.0,117.0,120.0,1.0
4.0,120.0,123.0,2.0
4.0,123.0,126.0,1.0
4.0,126.0,129.0,1.0
4.0,129.0,132.0,1.0
4.0,132.0,135.0,1.0
4.0,135.0,138.0,1.0
4.0,138.0,141.0,2.0
4.0,141.0,144.0,2.0
4.0,144.0,147.0,2.0
4.0,147.0,150.0,2.0
4.0,150.0,153.0,1.0
5.0,-0.0,3.0,2.0
5.0,3.0,6.0,2.0
5.0,6.0,9.0,2.0
5.0,9.0,12.0,2.0
5.0,12.0,15.0,2.0
5.0,15.0,18.0,1.0
5.0,18.0,21.0,2.0
5.0,21.0,24.0,2.0
5.0,24.0,27.0,2.0
5.0,27.0,30.0,2.0
5.0,30.0,33.0,2.0
5.0,33.0,36.0,2.0
5.0,36.0,39.0,2.0
5.0,39.0,42.0,1.0
5.0,42.0,45.0,2.0
5.0,45.0,48.0,1.0
5.0,48.0,51.0,1.0
5.0,51.0,54.0,1.0
5.0,54.0,57.0,1.0
5.0,57.0,60.0,2.0
5.0,60.0,63.0,2.0
5.0,63.0,66.0,2.0
5.0,66.0,69.0,2.0
5.0,69.0,72.0,2.0
5.0,72.0,75.0,1.0
5.0,75.0,78.0,2.0
5.0,78.0,81.0,2.0
5.0,81.0,84.0,2.0
5.0,84.0,87.0,1.0
5.0,87.0,90.0,1.0
5.0,90.0,93.0,1.0
5.0,93.0,96.0,1.0
5.0,96.0,99.0,2.0
6.0,-0.0,3.0,1.0
6.0,3.0,6.0,1.0
6.0,6.0,9.0,2.0
6.0,9.0,12.0,2.0
6.0,12.0,15.0,2.0
6.0,15.0,18.0,2.0
6.0,18.0,21.0,1.0
6.0,21.0,24.0,1.0
6.0,24.0,27.0,1.0
6.0,27.0,30.0,1.0
6.0,30.0,33.0,1.0
6.0,33.0,36.0,1.0
6.0,36.0,39.0,1.0
6.0,39.0,42.0,1.0
6.0,42.0,45.0,1.0
6.0,45.0,48.0,1.0
6.0,48.0,51.0,1.0
6.0,51.0,54.0,1.0
6.0,54.0,57.0,1.0
6.0,57.0,60.0,1.0
6.0,60.0,63.0,1.0
6.0,63.0,66.0,1.0
6.0,66.0,69.0,2.0
6.0,69.0,72.0,2.0
6.0,72.0,75.0,1.0
6.0,75.0,78.0,2.0
6.0,78.0,81.0,1.0
6.0,81.0,84.0,2.0
6.0,84.0,87.0,2.0
6.0,87.0,90.0,2.0
6.0,90.0,93.0,2.0
6.0,93.0,96.0,2.0
6.0,96.0,99.0,2.0
6.0,99.0,102.0,2.0
6.0,102.0,105.0,2.0
6.0,105.0,108.0,2.0
6.0,108.0,111.0,2.0
6.0,111.0,114.0,2.0
6.0,114.0,117.0,2.0
6.0,117.0,120.0,2.0
6.0,120.0,123.0,2.0
6.0,123.0,126.0,1.0
6.0,126.0,129.0,2.0
6.0,129.0,132.0,1.0
6.0,132.0,135.0,2.0
6.0,135.0,138.0,2.0
6.0,138.0,141.0,2.0
6.0,141.0,144.0,2.0
6.0,144.0,147.0,2.0
6.0,147.0,150.0,2.0
6.0,150.0,153.0,2.0
6.0,153.0,156.0,2.0
6.0,156.0,159.0,2.0
6.0,159.0,162.0,2.0
6.0,162.0,165.0,1.0
7.0,-0.0,3.0,2.0
7.0,3.0,6.0,2.0
7.0,6.0,9.0,2.0
7.0,9.0,12.0,1.0
7.0,12.0,15.0,2.0
7.0,15.0,18.0,2.0
7.0,18.0,21.0,2.0
7.0,21.0,24.0,2.0
7.0,24.0,27.0,2.0
7.0,27.0,30.0,1.0
7.0,30.0,33.0,1.0
7.0,33.0,36.0,1.0
7.0,36.0,39.0,1.0
7.0,39.0,42.0,1.0
7.0,42.0,45.0,1.0
7.0,45.0,48.0,2.0
7.0,48.0,51.0,2.0
7.0,51.0,54.0,1.0
7.0,54.0,57.0,1.0
7.0,57.0,60.0,1.0
7.0,60.0,63.0,1.0
7.0,63.0,66.0,1.0
7.0,66.0,69.0,1.0
7.0,69.0,72.0,1.0
7.0,72.0,75.0,1.0
7.0,75.0,78.0,2.0
7.0,78.0,81.0,1.0
7.0,81.0,84.0,2.0
7.0,84.0,87.0,2.0
7.0,87.0,90.0,2.0
7.0,90.0,93.0,2.0
7.0,93.0,96.0,2.0
7.0,96.0,99.0,2.0
7.0,99.0,102.0,2.0
7.0,102.0,105.0,2.0
7.0,105.0,108.0,2.0
7.0,108.0,111.0,2.0
7.0,111.0,114.0,2.0
7.0,114.0,117.0,1.0
